t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1595290117,100,1390,46.529509,5,140.434127,22.000000,61.000000,94.000000,103.000000,1390.000000,1390.000000
1595291531,100,2691,122.061151,5,287.861610,72.000000,137.000000,206.000000,456.000000,1204.000000,2691.000000
1595292129,100,432,211.503613,7,110.166862,213.000000,268.000000,404.000000,411.000000,419.000000,432.000000
1595294123,100,517,400.760184,10,89.472855,411.000000,492.000000,511.000000,513.000000,513.000000,517.000000
1595354294,100,43,8.790831,4,9.017083,5.000000,6.000000,33.000000,43.000000,43.000000,43.000000
1595354403,100,48,7.060000,4,7.411909,5.000000,6.000000,21.000000,38.000000,43.000000,48.000000
1595354585,100,59,13.518176,5,14.592874,6.000000,17.000000,46.000000,50.000000,51.000000,59.000000
1595354769,100,115,43.542004,5,31.132331,43.000000,68.000000,99.000000,112.000000,115.000000,115.000000
1595355081,100,224,100.343181,5,72.655407,92.000000,178.000000,206.000000,215.000000,215.000000,224.000000
1595355851,100,443,210.756983,6,148.216995,208.000000,366.000000,418.000000,435.000000,439.000000,443.000000
1595356657,100,518,400.952030,10,60.492942,404.000000,442.000000,488.000000,513.000000,514.000000,518.000000
