t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1595290117,100,10.291480,20.000000,20.000000,20.000000,events/second
1595291531,100,5.773713,5.829008,5.651744,5.617600,events/second
1595292129,100,3.826397,4.743161,5.101854,5.166875,events/second
1595294123,100,2.219721,2.347938,2.544756,2.581273,events/second
1595354294,100,16.767894,20.000000,20.000000,20.000000,events/second
1595354403,100,17.240704,20.000000,20.000000,20.000000,events/second
1595354585,100,15.507931,20.000000,20.000000,20.000000,events/second
1595354769,100,10.616067,20.000000,20.000000,20.000000,events/second
1595355081,100,6.636198,9.665474,10.405346,10.534669,events/second
1595355851,100,3.836782,4.744440,5.101909,5.166881,events/second
1595356657,100,2.218941,2.348934,2.544807,2.581279,events/second
