t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1595290117,100,9815,111.886866,6,977.583455,8.000000,10.000000,55.000000,67.000000,9815.000000,9815.000000
1595291531,100,572,34.400690,8,59.947965,12.000000,50.000000,86.000000,98.000000,141.000000,572.000000
1595292129,100,135,46.212510,9,31.844292,44.000000,71.000000,97.000000,113.000000,122.000000,135.000000
1595294123,100,173,61.354857,13,51.568676,31.000000,116.000000,154.000000,165.000000,173.000000,173.000000
1595354294,100,97,9.870000,5,12.452835,7.000000,8.000000,15.000000,46.000000,84.000000,97.000000
1595354403,100,90,15.665895,5,16.731573,8.000000,13.000000,63.000000,66.000000,66.000000,90.000000
1595354585,100,162,9.702740,5,15.949506,7.000000,8.000000,17.000000,24.000000,162.000000,162.000000
1595354769,100,104,21.995904,6,21.407070,10.000000,36.000000,69.000000,78.000000,80.000000,104.000000
1595355081,100,145,31.990209,8,27.945960,13.000000,50.000000,77.000000,94.000000,144.000000,145.000000
1595355851,100,184,43.001397,9,38.223116,30.000000,71.000000,121.000000,133.000000,170.000000,184.000000
1595356657,100,237,64.990069,12,51.679071,61.000000,107.000000,148.000000,159.000000,237.000000,237.000000
