t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1595290117,100,10,9.900376,5,0.698710,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000
1595291531,100,20,19.902423,10,0.982982,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000
1595292129,100,41,40.780666,21,2.082924,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000
1595294123,100,82,81.613592,41,3.961491,82.000000,82.000000,82.000000,82.000000,82.000000,82.000000
1595354294,100,2,1.969964,1,0.170686,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1595354403,100,3,2.970000,2,0.170587,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1595354585,100,3,2.939859,2,0.237748,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1595354769,100,10,9.749489,5,1.090780,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000
1595355081,100,20,19.896394,10,1.012586,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000
1595355851,100,41,41.000000,41,0.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000
1595356657,100,82,82.000000,82,0.000000,82.000000,82.000000,82.000000,82.000000,82.000000,82.000000
