t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1595290117,100,159,32.120808,2,33.427969,19.000000,61.000000,87.000000,124.000000,159.000000,159.000000
1595291531,100,176,71.927967,3,53.517283,79.000000,116.000000,153.000000,165.000000,174.000000,176.000000
1595292129,100,8471,257.281122,3,927.805679,159.000000,260.000000,362.000000,428.000000,8471.000000,8471.000000
1595294123,100,695,303.060680,5,161.525697,323.000000,423.000000,516.000000,569.000000,695.000000,695.000000
1595354294,100,61,4.422886,1,9.224856,2.000000,2.000000,20.000000,57.000000,61.000000,61.000000
1595354403,100,78,7.810000,1,12.586258,2.000000,3.000000,31.000000,41.000000,43.000000,78.000000
1595354585,100,108,8.927211,1,15.615164,2.000000,5.000000,33.000000,53.000000,108.000000,108.000000
1595354769,100,101,33.977082,1,31.981513,30.000000,62.000000,88.000000,92.000000,101.000000,101.000000
1595355081,100,5582,146.056606,2,639.932961,9.000000,133.000000,176.000000,2516.000000,5582.000000,5582.000000
1595355851,100,3975,202.069006,3,523.899578,67.000000,270.000000,341.000000,358.000000,3591.000000,3975.000000
1595356657,100,2665,324.858646,5,332.776657,336.000000,427.000000,521.000000,1293.000000,1749.000000,2665.000000
