t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1595290117,100,2.525549,12.130613,18.096748,19.344322,events/second
1595291531,100,1.029754,3.240168,10.446158,12.697969,events/second
1595292129,100,0.575872,0.456065,3.486098,4.894634,events/second
1595294123,100,0.330997,0.036246,1.306377,2.373897,events/second
1595354294,100,3.574714,14.330626,18.710140,19.560457,events/second
1595354403,100,6.743733,18.400888,19.669429,19.889197,events/second
1595354585,100,5.521073,16.929634,19.344322,19.779008,events/second
1595354769,100,2.378673,11.160703,17.797635,19.237152,events/second
1595355081,100,1.049774,2.712468,8.552653,10.358532,events/second
1595355851,100,0.593475,0.283067,1.584548,2.091668,events/second
1595356657,100,0.329470,0.035325,1.233484,2.230732,events/second
