t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1595290117,100,46,46.000000,46,0.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000
1595291531,100,97,97.000000,97,0.000000,97.000000,97.000000,97.000000,97.000000,97.000000,97.000000
1595292129,100,197,197.000000,197,0.000000,197.000000,197.000000,197.000000,197.000000,197.000000,197.000000
1595294123,100,370,370.000000,370,0.000000,370.000000,370.000000,370.000000,370.000000,370.000000,370.000000
1595354294,100,13,13.000000,13,0.000000,13.000000,13.000000,13.000000,13.000000,13.000000,13.000000
1595354403,100,14,14.000000,14,0.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000
1595354585,100,19,19.000000,19,0.000000,19.000000,19.000000,19.000000,19.000000,19.000000,19.000000
1595354769,100,46,46.000000,46,0.000000,46.000000,46.000000,46.000000,46.000000,46.000000,46.000000
1595355081,100,97,97.000000,97,0.000000,97.000000,97.000000,97.000000,97.000000,97.000000,97.000000
1595355851,100,197,197.000000,197,0.000000,197.000000,197.000000,197.000000,197.000000,197.000000,197.000000
1595356657,100,370,370.000000,370,0.000000,370.000000,370.000000,370.000000,370.000000,370.000000,370.000000
