t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1595290117,100,15,8.301331,6,1.265857,8.000000,9.000000,10.000000,14.000000,14.000000,15.000000
1595291531,100,40,12.308119,10,3.290053,12.000000,12.000000,15.000000,18.000000,40.000000,40.000000
1595292129,100,2578,46.298911,12,282.099261,15.000000,16.000000,17.000000,22.000000,2578.000000,2578.000000
1595294123,100,1597,42.967010,19,176.770145,22.000000,23.000000,30.000000,35.000000,1597.000000,1597.000000
1595354294,100,11,5.700471,5,0.931724,6.000000,6.000000,8.000000,8.000000,8.000000,11.000000
1595354403,100,9,5.760512,5,0.708733,6.000000,6.000000,7.000000,8.000000,9.000000,9.000000
1595354585,100,10,5.812824,5,0.788359,6.000000,6.000000,7.000000,9.000000,10.000000,10.000000
1595354769,100,19,8.631905,7,1.276959,8.000000,9.000000,10.000000,10.000000,10.000000,19.000000
1595355081,100,176,13.294618,9,18.050307,11.000000,12.000000,14.000000,18.000000,176.000000,176.000000
1595355851,100,1904,35.096566,14,166.874614,16.000000,17.000000,21.000000,26.000000,731.000000,1904.000000
1595356657,100,32,25.282151,22,2.109331,25.000000,26.000000,30.000000,31.000000,32.000000,32.000000
