t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1595290117,100,4.329230,6.504267,7.054878,7.151284,events/second
1595291531,100,2.192178,2.616357,3.227531,3.341581,events/second
1595292129,100,1.171670,1.077949,1.482817,1.560302,events/second
1595294123,100,0.629301,0.433716,0.718675,0.773092,events/second
1595354294,100,11.390889,20.000000,20.000000,20.000000,events/second
1595354403,100,10.091244,20.000000,20.000000,20.000000,events/second
1595354585,100,8.475518,17.224764,18.315709,18.504709,events/second
1595354769,100,4.095009,4.100576,3.875698,3.826182,events/second
1595355081,100,1.931663,1.244474,0.643205,0.486198,events/second
1595355851,100,1.177937,1.021278,1.048902,1.020119,events/second
1595356657,100,0.636268,0.416511,0.599355,0.604736,events/second
