t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1595290117,100,2.756403,5.285224,7.066558,7.417802,events/second
1595291531,100,1.113110,0.740079,0.575912,0.468091,events/second
1595292129,100,0.668795,0.438961,1.461559,1.800265,events/second
1595294123,100,0.367981,0.066136,0.571172,0.828523,events/second
1595354294,100,3.643480,9.525227,11.905439,12.363603,events/second
1595354403,100,7.162310,18.400888,19.669429,19.889197,events/second
1595354585,100,5.833888,15.847548,18.012977,18.402190,events/second
1595354769,100,2.592663,4.296592,5.465683,5.686566,events/second
1595355081,100,1.229212,1.259378,2.260323,2.482288,events/second
1595355851,100,0.674901,0.410891,1.216301,1.459992,events/second
1595356657,100,0.369294,0.066932,0.571645,0.828607,events/second
