t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1595290117,100,9530,210.572079,6,1191.491061,25.000000,65.000000,108.000000,6869.000000,9530.000000,9530.000000
1595291531,100,231,98.570958,8,54.805033,102.000000,139.000000,176.000000,201.000000,231.000000,231.000000
1595292129,100,432,211.043652,11,107.757951,213.000000,296.000000,383.000000,404.000000,432.000000,432.000000
1595294123,100,6781,516.531858,18,840.340681,395.000000,459.000000,525.000000,3253.000000,6781.000000,6781.000000
1595354294,100,8720,109.053750,4,922.371851,5.000000,6.000000,42.000000,161.000000,8720.000000,8720.000000
1595354403,100,9465,105.978377,4,966.857451,5.000000,5.000000,7.000000,10.000000,9465.000000,9465.000000
1595354585,100,8731,113.395264,4,927.254431,5.000000,14.000000,47.000000,232.000000,8731.000000,8731.000000
1595354769,100,124,48.175278,7,29.840522,48.000000,71.000000,99.000000,105.000000,109.000000,124.000000
1595355081,100,3512,126.864505,7,353.494907,82.000000,141.000000,187.000000,196.000000,3512.000000,3512.000000
1595355851,100,9661,285.088501,11,898.339620,105.000000,392.000000,424.000000,442.000000,447.000000,9661.000000
1595356657,100,552,394.908682,35,56.520668,398.000000,430.000000,464.000000,505.000000,508.000000,552.000000
