t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1595290117,100,1.414431,1.672975,2.965318,3.249519,events/second
1595291531,100,0.904899,2.015694,7.719589,9.656333,events/second
1595292129,100,0.501263,0.271493,2.790574,4.116525,events/second
1595294123,100,0.279609,0.013669,0.906332,1.829323,events/second
1595354294,100,2.578106,11.576793,17.207118,18.382494,events/second
1595354403,100,3.765718,6.245919,7.306185,7.500694,events/second
1595354585,100,3.411620,13.422236,17.422811,18.198896,events/second
1595354769,100,2.034669,10.268342,17.503466,19.130575,events/second
1595355081,100,0.900047,1.926790,7.304837,9.125511,events/second
1595355851,100,0.494123,0.110015,0.592808,0.731411,events/second
1595356657,100,0.285700,0.014562,0.920709,1.839320,events/second
