t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1595290117,100,1003,48.418677,5,122.631538,8.000000,59.000000,101.000000,716.000000,1003.000000,1003.000000
1595291531,100,1148,101.021068,6,121.383309,83.000000,155.000000,192.000000,223.000000,223.000000,1148.000000
1595292129,100,1570,216.702691,6,203.643327,195.000000,363.000000,409.000000,437.000000,437.000000,1570.000000
1595294123,100,3685,428.798732,9,357.880793,401.000000,444.000000,512.000000,513.000000,3685.000000,3685.000000
1595354294,100,52,10.117162,4,10.326032,6.000000,7.000000,37.000000,44.000000,52.000000,52.000000
1595354403,100,59,12.086680,4,12.360221,6.000000,15.000000,42.000000,47.000000,47.000000,59.000000
1595354585,100,58,13.967026,4,15.516176,5.000000,23.000000,54.000000,57.000000,58.000000,58.000000
1595354769,100,1639,61.059116,5,191.163788,21.000000,62.000000,107.000000,992.000000,1639.000000,1639.000000
1595355081,100,219,102.101658,6,52.669482,94.000000,148.000000,184.000000,188.000000,215.000000,219.000000
1595355851,100,4889,252.630157,6,505.396418,126.000000,382.000000,425.000000,438.000000,4889.000000,4889.000000
1595356657,100,7093,451.988529,9,625.628057,402.000000,440.000000,483.000000,507.000000,507.000000,7093.000000
