t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1595290117,100,1.311578,6.228064,15.837791,18.503400,events/second
1595291531,100,0.821965,1.652967,7.198535,9.199586,events/second
1595292129,100,0.451233,0.184282,2.663626,4.160399,events/second
1595294123,100,0.249639,0.006386,0.779659,1.739996,events/second
1595354294,100,2.479193,11.160703,17.797635,19.237152,events/second
1595354403,100,3.517223,14.330626,18.710140,19.560457,events/second
1595354585,100,3.157536,13.184813,18.400888,19.452090,events/second
1595354769,100,1.798345,7.025279,13.434162,14.968293,events/second
1595355081,100,0.819747,1.653189,7.198574,9.199592,events/second
1595355851,100,0.438924,0.170959,2.620492,4.137506,events/second
1595356657,100,0.252318,0.007154,0.793916,1.749981,events/second
