t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1595290117,100,15,7.638059,7,1.583661,7.000000,7.000000,11.000000,11.000000,12.000000,15.000000
1595291531,100,19,9.576781,9,1.866285,9.000000,9.000000,14.000000,19.000000,19.000000,19.000000
1595292129,100,19,12.272527,12,1.354037,12.000000,12.000000,12.000000,19.000000,19.000000,19.000000
1595294123,100,29,21.074873,19,3.998095,19.000000,20.000000,29.000000,29.000000,29.000000,29.000000
1595354294,100,6,6.000000,6,0.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000
1595354403,100,6,6.000000,6,0.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000
1595354585,100,6,6.000000,6,0.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000
1595354769,100,7,7.000000,7,0.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000
1595355081,100,14,10.039667,5,2.190880,9.000000,9.000000,14.000000,14.000000,14.000000,14.000000
1595355851,100,26,12.419354,12,1.892185,12.000000,12.000000,13.000000,19.000000,19.000000,26.000000
1595356657,100,29,20.673127,10,3.910533,19.000000,19.000000,29.000000,29.000000,29.000000,29.000000
