t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1595290117,100,8164,112.732755,8,858.105557,14.000000,24.000000,64.000000,188.000000,8164.000000,8164.000000
1595291531,100,248,29.550602,13,32.304443,20.000000,29.000000,84.000000,97.000000,203.000000,248.000000
1595292129,100,8327,116.646256,10,858.040627,20.000000,26.000000,75.000000,275.000000,8327.000000,8327.000000
1595294123,100,1560,69.064415,15,157.152853,33.000000,78.000000,144.000000,165.000000,425.000000,1560.000000
1595354294,100,6742,85.683805,6,676.861536,12.000000,15.000000,24.000000,167.000000,6742.000000,6742.000000
1595354403,100,357,18.681491,7,38.991685,12.000000,15.000000,22.000000,42.000000,202.000000,357.000000
1595354585,100,8581,112.431540,7,900.152196,13.000000,16.000000,25.000000,221.000000,8581.000000,8581.000000
1595354769,100,7816,99.051616,9,790.818764,15.000000,19.000000,26.000000,41.000000,7816.000000,7816.000000
1595355081,100,241,29.754326,10,27.830339,20.000000,38.000000,67.000000,73.000000,94.000000,241.000000
1595355851,100,8896,119.427323,12,897.280657,20.000000,27.000000,67.000000,92.000000,8896.000000,8896.000000
1595356657,100,8641,213.818340,16,1147.867789,25.000000,52.000000,141.000000,7571.000000,7571.000000,8641.000000
