t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1595290117,100,0.818513,2.489042,11.353923,14.625574,events/second
1595291531,100,0.488901,0.775484,10.440916,16.103966,events/second
1595292129,100,0.255897,0.019364,3.090852,7.204390,events/second
1595294123,100,0.149012,0.000226,1.558021,6.797983,events/second
1595354294,100,1.385533,2.133537,4.228978,4.729363,events/second
1595354403,100,2.047886,10.268342,17.503466,19.130575,events/second
1595354585,100,1.818575,7.992986,14.337761,15.808526,events/second
1595354769,100,0.913359,1.707973,5.876758,7.218537,events/second
1595355081,100,0.517556,0.916126,10.794812,16.283897,events/second
1595355851,100,0.260140,0.014136,1.787573,4.007147,events/second
1595356657,100,0.148411,0.000081,0.423204,1.763576,events/second
