t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1595290117,100,10,9.647930,5,1.279216,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000
1595291531,100,20,19.903245,10,0.978870,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000
1595292129,100,41,39.953399,21,4.453835,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000
1595294123,100,82,82.000000,82,0.000000,82.000000,82.000000,82.000000,82.000000,82.000000,82.000000
1595354294,100,2,2.000000,2,0.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1595354403,100,3,3.000000,3,0.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1595354585,100,3,3.000000,3,0.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1595354769,100,10,9.450383,5,1.563971,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000
1595355081,100,20,19.897441,10,1.007507,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000
1595355851,100,41,41.000000,41,0.000000,41.000000,41.000000,41.000000,41.000000,41.000000,41.000000
1595356657,100,82,81.586864,41,4.094863,82.000000,82.000000,82.000000,82.000000,82.000000,82.000000
