t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1595290117,100,177,22.999969,2,30.829389,6.000000,41.000000,91.000000,94.000000,177.000000,177.000000
1595291531,100,2961,90.163686,4,301.537456,36.000000,108.000000,179.000000,360.000000,2961.000000,2961.000000
1595292129,100,9534,289.458009,4,1217.633328,52.000000,252.000000,355.000000,537.000000,8696.000000,9534.000000
1595294123,100,6139,351.275930,9,575.390590,325.000000,458.000000,523.000000,553.000000,602.000000,6139.000000
1595354294,100,7041,128.309065,2,799.010233,3.000000,4.000000,10.000000,2669.000000,7041.000000,7041.000000
1595354403,100,15,3.732289,2,2.451419,3.000000,4.000000,7.000000,14.000000,15.000000,15.000000
1595354585,100,10,3.371416,2,1.574505,3.000000,4.000000,7.000000,8.000000,10.000000,10.000000
1595354769,100,170,25.697307,2,32.155006,6.000000,45.000000,88.000000,149.000000,170.000000,170.000000
1595355081,100,201,71.923088,3,63.313025,73.000000,123.000000,174.000000,180.000000,186.000000,201.000000
1595355851,100,445,157.134611,5,118.035021,169.000000,225.000000,341.000000,423.000000,423.000000,445.000000
1595356657,100,859,326.266646,7,182.349696,349.000000,438.000000,577.000000,667.000000,687.000000,859.000000
