t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1595290117,100,0.893903,3.475479,14.093762,17.797635,events/second
1595291531,100,0.496090,0.471005,6.026775,9.217839,events/second
1595292129,100,0.263371,0.008447,0.675388,1.393442,events/second
1595294123,100,0.150568,0.000090,0.371921,1.495489,events/second
1595354294,100,1.569368,7.127394,14.685931,16.569291,events/second
1595354403,100,2.129903,10.268342,17.503466,19.130575,events/second
1595354585,100,2.236230,11.160703,17.797635,19.237152,events/second
1595354769,100,1.001652,4.462603,14.816364,18.096748,events/second
1595355081,100,0.525662,0.656808,7.504661,11.264012,events/second
1595355851,100,0.268316,0.017448,1.964242,4.316973,events/second
1595356657,100,0.153186,0.000107,0.406969,1.609121,events/second
