t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1595290117,100,7765,91.209352,7,779.243137,8.000000,9.000000,11.000000,331.000000,7765.000000,7765.000000
1595291531,100,4641,61.120197,10,468.879707,12.000000,13.000000,14.000000,28.000000,4641.000000,4641.000000
1595292129,100,2200,31.223598,14,181.660410,15.000000,16.000000,22.000000,23.000000,24.000000,2200.000000
1595294123,100,641,30.694442,22,60.727511,24.000000,25.000000,32.000000,48.000000,48.000000,641.000000
1595354294,100,11,6.069293,5,1.036024,6.000000,6.000000,8.000000,9.000000,10.000000,11.000000
1595354403,100,20,6.531275,5,2.176754,6.000000,7.000000,8.000000,12.000000,19.000000,20.000000
1595354585,100,3394,39.745897,4,335.461160,6.000000,7.000000,9.000000,11.000000,13.000000,3394.000000
1595354769,100,984,22.785489,7,106.301577,9.000000,10.000000,12.000000,241.000000,984.000000,984.000000
1595355081,100,2892,38.054403,9,274.126587,11.000000,12.000000,14.000000,20.000000,64.000000,2892.000000
1595355851,100,5132,66.937975,13,502.645910,16.000000,18.000000,25.000000,29.000000,29.000000,5132.000000
1595356657,100,48,27.857260,24,4.691073,26.000000,29.000000,36.000000,47.000000,47.000000,48.000000
