t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1595290117,100,1.038263,1.930703,5.643185,6.759880,events/second
1595291531,100,0.652306,0.476914,2.396952,3.143091,events/second
1595292129,100,0.349489,0.040750,0.763701,1.249853,events/second
1595294123,100,0.194854,0.001174,0.220207,0.521139,events/second
1595354294,100,2.258678,11.160703,17.797635,19.237152,events/second
1595354403,100,2.761616,9.804566,14.360301,15.304646,events/second
1595354585,100,2.540289,6.481642,9.022518,9.533679,events/second
1595354769,100,1.189451,2.515193,5.935634,6.873883,events/second
1595355081,100,0.644220,0.443229,2.358398,3.125838,events/second
1595355851,100,0.346243,0.039078,0.761924,1.249510,events/second
1595356657,100,0.196381,0.001233,0.186778,0.409935,events/second
