t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1595290117,100,19,9.167372,7,1.743869,9.000000,10.000000,11.000000,13.000000,19.000000,19.000000
1595291531,100,3670,78.454734,10,442.410998,13.000000,14.000000,19.000000,1511.000000,3670.000000,3670.000000
1595292129,100,6388,66.879623,13,556.298095,16.000000,17.000000,21.000000,54.000000,128.000000,6388.000000
1595294123,100,58,25.840771,23,3.756372,25.000000,26.000000,33.000000,34.000000,44.000000,58.000000
1595354294,100,5818,68.768003,4,598.295367,6.000000,7.000000,9.000000,13.000000,5818.000000,5818.000000
1595354403,100,7090,76.723354,5,699.650002,7.000000,7.000000,10.000000,13.000000,16.000000,7090.000000
1595354585,100,19,7.045327,5,2.097334,7.000000,7.000000,10.000000,15.000000,18.000000,19.000000
1595354769,100,27,9.952428,8,2.546404,9.000000,10.000000,13.000000,19.000000,19.000000,27.000000
1595355081,100,898,21.882340,9,91.892940,12.000000,13.000000,15.000000,17.000000,898.000000,898.000000
1595355851,100,70,18.091034,15,5.733804,17.000000,18.000000,24.000000,33.000000,41.000000,70.000000
1595356657,100,56,28.284061,24,4.067138,27.000000,29.000000,38.000000,41.000000,41.000000,56.000000
