t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1595290117,100,0.913243,1.611629,5.455076,6.684763,events/second
1595291531,100,0.519413,0.251400,2.100167,3.006847,events/second
1595292129,100,0.286186,0.015427,0.688147,1.305466,events/second
1595294123,100,0.159214,0.000184,0.175321,0.558624,events/second
1595354294,100,1.928010,6.773172,11.967455,13.159822,events/second
1595354403,100,2.151350,1.557210,1.499364,1.438322,events/second
1595354585,100,2.258152,11.160703,17.797635,19.237152,events/second
1595354769,100,1.028940,1.944662,5.785650,6.939412,events/second
1595355081,100,0.546615,0.285005,2.167470,3.039831,events/second
1595355851,100,0.280198,0.013773,0.667466,1.291462,events/second
1595356657,100,0.161279,0.000190,0.177660,0.561504,events/second
