t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1595290117,100,6594,101.840112,9,671.902304,14.000000,50.000000,103.000000,119.000000,6594.000000,6594.000000
1595291531,100,8438,415.958127,11,1659.362063,16.000000,34.000000,1303.000000,8200.000000,8438.000000,8438.000000
1595292129,100,7929,441.653634,11,1349.175363,129.000000,329.000000,423.000000,7430.000000,7430.000000,7929.000000
1595294123,100,8354,633.543816,16,1357.370567,363.000000,502.000000,647.000000,8330.000000,8330.000000,8354.000000
1595354294,100,254,10.174950,5,24.381296,8.000000,8.000000,11.000000,13.000000,14.000000,254.000000
1595354403,100,10014,426.153681,6,1977.748282,7.000000,9.000000,22.000000,9857.000000,9857.000000,10014.000000
1595354585,100,8312,97.430012,6,845.041083,8.000000,9.000000,12.000000,16.000000,8312.000000,8312.000000
1595354769,100,6374,99.709123,8,649.019209,15.000000,54.000000,94.000000,122.000000,6374.000000,6374.000000
1595355081,100,3888,130.545229,11,406.856150,86.000000,123.000000,196.000000,1257.000000,3888.000000,3888.000000
1595355851,100,7645,313.423042,13,859.456986,92.000000,364.000000,408.000000,2506.000000,4399.000000,7645.000000
1595356657,100,7099,521.478870,18,921.036559,360.000000,498.000000,576.000000,4484.000000,7099.000000,7099.000000
