t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1595290117,100,0.756706,1.444308,7.221729,9.444114,events/second
1595291531,100,0.410516,0.097248,1.507340,2.384649,events/second
1595292129,100,0.231322,0.005806,1.324847,3.295159,events/second
1595294123,100,0.136676,0.000029,0.277851,1.295166,events/second
1595354294,100,1.363940,6.769309,16.103966,18.606483,events/second
1595354403,100,1.120293,2.205818,5.242392,6.108846,events/second
1595354585,100,1.550240,3.250679,6.009319,6.653161,events/second
1595354769,100,0.838407,1.854528,7.591995,9.602835,events/second
1595355081,100,0.484748,0.402711,5.423417,8.370673,events/second
1595355851,100,0.240123,0.004058,0.540271,1.206572,events/second
1595356657,100,0.138139,0.000033,0.286679,1.309337,events/second
